step,epoch,loss,eta
50,1,1.100183,42.66
100,1,1.123852,38.64
150,1,1.113618,36.12
200,1,1.142133,34.01
250,1,1.106980,32.06
300,1,1.100639,30.17
350,1,1.112758,28.31
400,1,1.101812,26.48
450,1,1.100170,24.67
500,1,1.089870,22.87
550,1,1.102801,21.08
600,1,1.104560,19.30
650,1,1.104736,17.51
700,1,1.107237,15.72
750,1,1.098978,13.94
800,1,1.108366,12.16
850,1,1.106395,10.39
900,1,1.097600,8.61
950,1,1.101723,6.84
1000,1,1.096894,5.06
1050,1,1.099383,3.29
1100,1,1.102210,1.52
1150,2,1.096729,39.21
1200,2,1.101046,38.07
1250,2,1.085997,36.37
1300,2,1.102087,34.62
1350,2,1.097034,32.88
1400,2,1.096853,31.13
1450,2,1.100828,29.38
1500,2,1.097472,27.62
1550,2,1.095631,25.87
1600,2,1.103197,24.12
1650,2,1.102134,22.36
1700,2,1.098539,20.60
1750,2,1.102290,18.84
1800,2,1.098460,17.08
1850,2,1.101367,15.33
1900,2,1.094356,13.57
1950,2,1.098054,11.81
2000,2,1.095643,10.05
2050,2,1.099778,8.33
2100,2,1.096779,6.56
2150,2,1.101549,4.80
2200,2,1.104197,3.03
2250,2,1.099852,1.27
2300,3,1.143647,39.21
2350,3,1.109274,37.82
2400,3,1.098594,36.11
2450,3,1.075858,34.38
2500,3,1.097458,32.63
2550,3,1.102771,30.88
2600,3,1.097928,29.12
2650,3,1.098281,27.37
2700,3,1.101666,25.61
2750,3,1.100921,23.86
2800,3,1.099983,22.10
2850,3,1.100649,20.34
2900,3,1.101369,18.59
2950,3,1.098952,16.83
3000,3,1.100776,15.07
3050,3,1.093367,13.32
3100,3,1.194508,11.56
3150,3,0.478379,9.80
3200,3,0.411289,8.05
3250,3,0.261678,6.29
3300,3,0.104527,4.53
3350,3,0.156256,2.78
3400,3,0.095801,1.02
3450,4,0.089103,39.07
3500,4,0.110288,37.55
3550,4,0.120611,35.84
3600,4,0.070819,34.10
3650,4,0.097933,32.36
3700,4,0.107479,30.61
3750,4,0.083295,28.86
3800,4,0.081046,27.10
3850,4,0.081862,25.35
3900,4,0.065372,23.59
3950,4,0.108896,21.85
4000,4,0.077679,20.10
4050,4,0.057251,18.34
4100,4,0.065462,16.59
4150,4,0.079792,14.83
4200,4,0.137171,13.08
4250,4,0.170950,11.32
4300,4,0.057547,9.56
4350,4,0.144068,7.80
4400,4,0.128040,6.05
4450,4,0.083175,4.29
4500,4,0.068516,2.53
4550,4,0.053561,0.77
4600,5,0.030242,38.87
4650,5,0.063278,37.32
4700,5,0.069877,35.60
4750,5,0.131266,33.87
4800,5,0.048594,32.14
4850,5,0.072231,30.39
4900,5,0.050204,28.63
4950,5,0.024053,26.88
5000,5,0.034342,25.12
5050,5,0.026288,23.37
5100,5,0.018260,21.61
5150,5,0.087267,19.86
5200,5,0.048331,18.10
5250,5,0.079420,16.34
5300,5,0.040671,14.59
5350,5,0.048946,12.83
5400,5,0.080194,11.07
5450,5,0.042016,9.31
5500,5,0.089528,7.56
5550,5,0.036249,5.80
5600,5,0.049902,4.04
5650,5,0.019501,2.28
5700,5,0.059639,0.53
5750,6,0.035149,38.63
5800,6,0.018771,37.05
5850,6,0.013888,35.34
5900,6,0.027064,33.61
5950,6,0.043420,31.87
6000,6,0.006475,30.11
6050,6,0.081938,28.37
6100,6,0.019249,26.61
6150,6,0.010093,24.86
6200,6,0.022501,23.11
6250,6,0.075796,21.36
6300,6,0.050230,19.60
6350,6,0.065873,17.84
6400,6,0.076514,16.09
6450,6,0.049179,14.33
6500,6,0.041824,12.58
6550,6,0.050880,10.82
6600,6,0.027530,9.06
6650,6,0.051689,7.31
6700,6,0.019323,5.55
6750,6,0.070168,3.79
6800,6,0.030721,2.04
6850,6,0.086928,0.28
6900,7,0.040221,38.41
6950,7,0.007153,36.83
7000,7,0.012636,35.11
7050,7,0.035617,33.37
7100,7,0.012210,31.65
7150,7,0.034761,29.90
7200,7,0.025061,28.14
7250,7,0.003047,26.39
7300,7,0.105009,24.63
7350,7,0.047059,22.87
7400,7,0.016281,21.12
7450,7,0.009091,19.36
7500,7,0.037303,17.60
7550,7,0.040878,15.85
7600,7,0.019894,14.09
7650,7,0.050523,12.33
7700,7,0.019498,10.58
7750,7,0.009017,8.82
7800,7,0.075150,7.06
7850,7,0.048671,5.31
7900,7,0.024080,3.55
7950,7,0.028017,1.79
8000,7,0.039893,0.04
8050,8,0.034937,38.14
8100,8,0.057151,36.54
8150,8,0.025697,35.01
8200,8,0.004158,33.25
8250,8,0.005420,31.49
8300,8,0.010085,29.72
8350,8,0.026353,27.96
8400,8,0.025568,26.20
8450,8,0.029161,24.43
